candidate_id,rank,score,reasoning
CAND_0000020,14,0.318779,"Mechanical Engineer at Wipro (6.3 yrs) — 6.3 years experience (target band); 30-day notice period. Concerns: located in Ahmedabad, Gujarat, not willing to relocate, inactive for 270 days."
CAND_0000044,15,0.317851,"Frontend Engineer at Tech Mahindra (5.7 yrs) — hands-on with Python; 5.7 years experience (target band). Concerns: located in Indore, Madhya Pradesh, not willing to relocate, inactive for 203 days."
CAND_0000026,16,0.314156,"Graphic Designer at Initech (6.8 yrs) — 6.8 years experience (target band); 30-day notice period. Concerns: located in Kochi, Kerala, not willing to relocate, inactive for 272 days."
CAND_0000019,17,0.2959,"Project Manager at Wayne Enterprises (6.5 yrs) — 6.5 years experience (target band). Concerns: located in Trivandrum, Kerala, not willing to relocate."
CAND_0000023,18,0.295454,"Software Engineer at Acme Corp (3.7 yrs) — 14 months in ML/AI roles; 30-day notice period. Concerns: located in New York, not willing to relocate."
CAND_0000005,19,0.293561,"Accountant at Stark Industries (11.0 yrs) — based in Gurgaon, Haryana; 30-day notice period. Concerns: 11.0 yrs (above target band), inactive for 274 days."
CAND_0000048,20,0.29215,"Mobile Developer at CRED (9.7 yrs) — based in Hyderabad, Telangana. Concerns: 9.7 yrs (above target band), 120-day notice period."
CAND_0000046,21,0.28238,Mechanical Engineer at Hooli (7.8 yrs) — 7.8 years experience (target band); willing to relocate; 30-day notice period. Concerns: inactive for 132 days.
CAND_0000018,22,0.280358,"Frontend Engineer at Acme Corp (6.6 yrs) — 6.6 years experience (target band). Concerns: located in Bhubaneswar, Odisha, not willing to relocate, inactive for 134 days."
CAND_0000041,23,0.265773,"Operations Manager at Hooli (13.7 yrs) — based in Delhi, Delhi. Concerns: 13.7 yrs (above target band), inactive for 108 days."
CAND_0000039,24,0.265344,Marketing Manager at Acme Corp (3.9 yrs) — willing to relocate; 30-day notice period. Adjacent skills and partial experience match; included at bottom of shortlist as borderline fit.
CAND_0000045,25,0.260016,Project Manager at Initech (12.2 yrs) — willing to relocate. Concerns: 12.2 yrs (above target band).
CAND_0000002,26,0.258759,"Operations Manager at Wipro (12.5 yrs) — based in Chennai, Tamil Nadu. Concerns: 12.5 yrs (above target band), inactive for 232 days."
CAND_0000050,27,0.258429,"Business Analyst at Infosys (13.5 yrs) — based in Gurgaon, Haryana. Concerns: 13.5 yrs (above target band), inactive for 253 days."
CAND_0000033,28,0.250902,"Graphic Designer at Wipro (8.6 yrs) — 8.6 years experience (target band); based in Pune, Maharashtra; 30-day notice period. Concerns: inactive for 97 days, low recruiter response rate (8%)."
CAND_0000029,29,0.248715,"Business Analyst at Wipro (7.2 yrs) — 7.2 years experience (target band); based in Noida, Uttar Pradesh. Concerns: inactive for 276 days, low recruiter response rate (12%)."
CAND_0000017,30,0.232847,"Accountant at Wipro (12.3 yrs) — based in Bangalore, Karnataka. Concerns: 12.3 yrs (above target band), inactive for 240 days."
CAND_0000049,31,0.217436,"Mechanical Engineer at Wayne Enterprises (11.8 yrs) — some adjacent skills. Concerns: 11.8 yrs (above target band), located in Berlin, not willing to relocate."
CAND_0000034,32,0.214661,"Business Analyst at Wipro (14.5 yrs) — some adjacent skills. Concerns: 14.5 yrs (above target band), located in Ahmedabad, Gujarat, not willing to relocate."
CAND_0000042,33,0.199312,HR Manager at Wayne Enterprises (5.0 yrs) — 5.0 years experience (target band); willing to relocate; 30-day notice period. Concerns: inactive for 252 days.
CAND_0000037,34,0.198332,"Business Analyst at Stark Industries (14.3 yrs) — 78% recruiter response rate; 30-day notice period. Concerns: 14.3 yrs (above target band), located in Dubai, not willing to relocate."
CAND_0000036,35,0.19804,"Project Manager at Initech (11.3 yrs) — some adjacent skills. Concerns: 11.3 yrs (above target band), located in Trivandrum, Kerala, not willing to relocate."
CAND_0000030,36,0.190511,"Marketing Manager at Dunder Mifflin (10.0 yrs) — some adjacent skills. Concerns: 10.0 yrs (above target band), located in Kochi, Kerala, not willing to relocate."
CAND_0000006,37,0.182886,"Business Analyst at Wayne Enterprises (6.0 yrs) — 6.0 years experience (target band); willing to relocate. Concerns: inactive for 124 days, low recruiter response rate (12%)."
CAND_0000024,38,0.178436,"HR Manager at TCS (7.5 yrs) — 7.5 years experience (target band); willing to relocate; 78% recruiter response rate. Concerns: inactive for 163 days, entire career at IT services firms."
CAND_0000027,39,0.17674,"DevOps Engineer at Infosys (3.9 yrs) — hands-on with Information Retrieval. Concerns: located in Kolkata, West Bengal, not willing to relocate, entire career at IT services firms."
CAND_0000021,40,0.174076,"Project Manager at Wipro (14.5 yrs) — hands-on with Recommendation Systems, Pinecone, Vector Search; willing to relocate. Concerns: 14.5 yrs (above target band), inactive for 223 days."
CAND_0000040,41,0.163519,"Customer Support at Globex Inc (1.6 yrs) — some adjacent skills. Concerns: located in Kochi, Kerala, not willing to relocate, inactive for 152 days."
CAND_0000004,42,0.162396,"Marketing Manager at Dunder Mifflin (3.8 yrs) — willing to relocate. Concerns: inactive for 99 days, 120-day notice period."
CAND_0000012,43,0.147056,"Operations Manager at Stark Industries (1.1 yrs) — some adjacent skills. Concerns: located in Chandigarh, Chandigarh, not willing to relocate, inactive for 247 days."
CAND_0000009,44,0.141407,"Mechanical Engineer at Dunder Mifflin (11.0 yrs) — some adjacent skills. Concerns: 11.0 yrs (above target band), located in New York, not willing to relocate."
CAND_0000013,45,0.136769,"Civil Engineer at Globex Inc (1.1 yrs) — 30-day notice period. Concerns: located in Dubai, not willing to relocate, inactive for 98 days."
CAND_0000022,46,0.12922,"Mechanical Engineer at Hooli (1.1 yrs) — some adjacent skills. Concerns: located in Sydney, not willing to relocate, 150-day notice period."
CAND_0000008,47,0.121737,"Operations Manager at Wipro (3.6 yrs) — based in Noida, Uttar Pradesh. Concerns: inactive for 201 days, entire career at IT services firms."
CAND_0000047,48,0.094462,"Project Manager at TCS (2.4 yrs) — some adjacent skills. Concerns: located in Kochi, Kerala, not willing to relocate, inactive for 102 days."
CAND_0000028,49,0.079135,"Operations Manager at Wipro (1.1 yrs) — willing to relocate. Concerns: inactive for 93 days, low recruiter response rate (14%)."
CAND_0000003,50,0.056674,"Customer Support at TCS (1.1 yrs) — some adjacent skills. Concerns: located in Austin, not willing to relocate, inactive for 103 days."
